subtype,jugador,de_equipo,a_equipo,precio,date
clausula,Abde Ezzalzouli,MuchaSalsa,Dani,19.9665,2026-02-17
clausula,Lucas Beltrán,Libre,Jotabetrbb,1.9845,2026-02-11
clausula,Dani Olmo,De la Guettir FC,Jotabetrbb,30.21529,2026-02-09
clausula,Fermín López,Maldinillo 💥,Los marinero,23.667,2026-01-29
clausula,Franco Mastantuono,Los marinero,Jotabetrbb,5.502007,2026-01-29
clausula,Dani Olmo,Jotabetrbb,De la Guettir FC,20.143527,2026-01-29
clausula,Raúl Asencio,Los marinero,Jotabetrbb,10.698,2026-01-27
clausula,Filip Ugrinic,Los marinero,Jotabetrbb,1.266,2026-01-27
acuerdo,Georges Mikautadze,Dani,Libre,11.619,2026-01-27
clausula,Umar Sadiq,Dani,Jotabetrbb,1.4169,2026-01-17
clausula,Thomas Lemar,De la Guettir FC,Los marinero,1.0,2026-01-16
acuerdo,Raúl Asencio,Chamacónicos,Los marinero,5.358,2026-01-06
clausula,César Azpilicueta,Jotabetrbb,Los marinero,2.1,2026-01-01
clausula,Thierry Correia,Dani,Los marinero,1.95,2025-12-31
clausula,Gabriel Suazo,Chamacónicos,Los marinero,5.373,2025-12-30
clausula,Koke,MuchaSalsa,Maldinillo 💥,16.941,2025-12-30
clausula,Pedri,Maldinillo 💥,Los marinero,60.29502,2025-12-28
clausula,Lamine Yamal,Los marinero,Dani,46.550565,2025-12-28
clausula,Raphinha,MuchaSalsa,Maldinillo 💥,40.649998,2025-12-28
clausula,Carl Starfelt,Chamacónicos,Jotabetrbb,2.382,2025-12-23
acuerdo,Iván Romero,De la Guettir FC,Maldinillo 💥,9.6,2025-12-19
clausula,Ayoze Pérez,Maldinillo 💥,Jotabetrbb,23.403315,2025-12-19
clausula,Ferran Torres,Jotabetrbb,De la Guettir FC,32.186,2025-12-19
clausula,Hector Fort,Dani,Los marinero,2.0265,2025-12-18
acuerdo,Alexander Sørloth,Maldinillo 💥,Dani,6.75,2025-12-12
clausula,Cucho Hernández,Dani,Chamacónicos,22.8225,2025-12-12
clausula,Rodrigo Riquelme,Dani,Chamacónicos,1.35978,2025-12-11
acuerdo,Julián Álvarez,Chamacónicos,Jotabetrbb,23.31,2025-12-09
clausula,Valentín Gómez,Chamacónicos,Los marinero,3.34125,2025-12-09
clausula,Antonio Rüdiger,Dani,Chamacónicos,4.60647,2025-12-08
acuerdo,Jon Gorrotxategi,Libre,Maldinillo 💥,3.669,2025-12-06
clausula,Antonio Rüdiger,Maldinillo 💥,Dani,3.07098,2025-12-05
clausula,Djibril Sow,Chamacónicos,Los marinero,1.656,2025-12-05
clausula,Valentín Gómez,Los marinero,Chamacónicos,2.2275,2025-12-05
clausula,Gonçalo Guedes,Juanba,Los marinero,7.690146,2025-11-27
clausula,Javier López,Chamacónicos,Jotabetrbb,1.0,2025-11-20
clausula,Matteo Ruggeri,Jotabetrbb,Los marinero,1.67625,2025-11-20
clausula,Akor Adams,MuchaSalsa,Chamacónicos,5.313,2025-11-19
clausula,Matteo Ruggeri,Dani,Jotabetrbb,1.1175,2025-11-12
clausula,André Silva,Dani,Juanba,12.5115,2025-11-07
clausula,Odysseas Vlachodimos,Chamacónicos,Los marinero,9.75,2025-11-05
clausula,Kylian Mbappé,De la Guettir FC,Chamacónicos,43.8,2025-11-05
clausula,Giuliano Simeone,MuchaSalsa,Juanba,16.6485,2025-11-04
clausula,Abde Ezzalzouli,Juanba,MuchaSalsa,13.2285,2025-11-04
acuerdo,Éder Militão,Los marinero,,,2025-10-31
clausula,Iván Martín,Dani,Jotabetrbb,3.29092,2025-10-31
acuerdo,Álex Moreno,Los marinero,Libre,3.4,
acuerdo,Marc Roca,Chamacónicos,Jotabetrbb,2.7,
acuerdo,Eduardo Camavinga,Chamacónicos,Jotabetrbb,6.0,
clausula,Marc Roca,Jotabetrbb,Chamacónicos,2.127,
clausula,José Copete,Dani,Los marinero,1.226565,
clausula,Cristian Portu,MuchaSalsa,Dani,1.371,
clausula,Koke,Chamacónicos,MuchaSalsa,6.499999,
acuerdo,Youssef Enríquez,Libre,,,
acuerdo,Álvaro Núñez,MuchaSalsa,,,
acuerdo,Samuel Costa,Maldinillo 💥,Libre,4.0,
acuerdo,Jon Gorrotxategi,Maldinillo 💥,Libre,3.4,
clausula,Thierry Correia,Jotabetrbb,Los marinero,1.0,
acuerdo,Tyrhys Dolan,Los marinero,Maldinillo 💥,8.0,
clausula,Clemens Riedel,Jotabetrbb,Dani,1.67625,
acuerdo,Etta Eyong,Los marinero,,,
acuerdo,Haissem Hassan,Los marinero,Chamacónicos,5.409,
clausula,Clemens Riedel,Maldinillo 💥,Jotabetrbb,1.1175,
acuerdo,Marcos Llorente,Libre,,,
clausula,Abel Bretones,Dani,Chamacónicos,3.8298,
acuerdo,Abdel Abqar,Dani,Jotabetrbb,1.907,
acuerdo,Samuel Costa,Dani,Maldinillo 💥,2.492,
clausula,Tyrhys Dolan,Dani,Los marinero,9.612,
clausula,Marc Roca,Los marinero,Jotabetrbb,1.0035,
clausula,Pablo Ibáñez,Jotabetrbb,Juanba,3.8445,
clausula,Abde Ezzalzouli,Maldinillo 💥,Juanba,7.804908,
acuerdo,Isaac Romero,Jotabetrbb,Maldinillo 💥,6.0,
clausula,Rafa Mir,Maldinillo 💥,Dani,8.271165,
clausula,Valentín Gómez,Chamacónicos,Jotabetrbb,2.0,
clausula,Valentín Gómez,Libre,Chamacónicos,1.0,
clausula,Tanguy Nianzou,Los marinero,Jotabetrbb,1.029,
clausula,Georges Mikautadze,Maldinillo 💥,Chamacónicos,9.9234,
