date,nombre,variacion
2025-10-30,Pep Chavarría,0.231
2025-10-30,Azzedine Ounahi,0.22
2025-10-30,Gerard Moreno,0.201
2025-10-30,Santi Comesaña,0.197
2025-10-30,Robin Le Normand,0.191
2025-10-30,Abde Ezzalzouli,0.177
2025-10-30,Pere Milla,0.17
2025-10-30,Pol Lozano,0.163
2025-10-30,Victor Muñoz,0.152
2025-10-30,Etta Eyong,0.146
2025-10-30,André Silva,0.139
2025-10-30,Alberto Moleiro,0.138
2025-10-30,Jesús Areso,0.138
2025-10-30,Moi Gómez,0.137
2025-10-30,Marc Casadó,0.135
2025-10-30,Tajon Buchanan,0.134
2025-10-30,Juan Foyth,0.134
2025-10-30,Borja Mayoral,0.134
2025-10-30,Jon Moncayola,0.133
2025-10-30,Koke,0.129
2025-10-30,Marcos Alonso,0.127
2025-10-30,Éder Militão,0.125
2025-10-30,Florian Lejeune,0.125
2025-10-30,Aleix Febas,0.125
2025-10-30,Jan Oblak,0.122
2025-10-30,Odysseas Vlachodimos,0.122
2025-10-30,Edu Expósito,0.121
2025-10-30,Marc Bartra,0.12
2025-10-30,Sofyan Amrabat,0.119
2025-10-30,Eduardo Camavinga,0.119
2025-10-30,Iñaki Peña,0.119
2025-10-30,Pablo Maffeo,0.118
2025-10-30,Ronald Araújo,0.117
2025-10-30,Luis Milla,0.116
2025-10-30,Fermín López,0.115
2025-10-30,Aurélien Tchouaméni,0.114
2025-10-30,Jon Gorrotxategi,0.114
2025-10-30,Clemens Riedel,0.114
2025-10-30,Giuliano Simeone,0.112
2025-10-30,Marcus Rashford,0.11
2025-10-30,Ionuț Radu,0.108
2025-10-30,Rodrigo Mendoza,0.107
2025-10-30,Wojciech Szczęsny,0.107
2025-10-30,Mikel Oyarzabal,0.106
2025-10-30,Jorge de Frutos,0.104
2025-10-30,Leo Román,0.104
2025-10-30,Marcos Llorente,0.103
2025-10-30,Carlos Romero,0.099
2025-10-30,Andrei Rațiu,0.099
2025-10-30,Óscar Mingueza,0.098
2025-10-30,Yuri Berchiche,0.097
2025-10-30,Dani Parejo,0.097
2025-10-30,Cucho Hernández,0.095
2025-10-30,Adrián Liso,0.095
2025-10-30,Johan Mojica,0.094
2025-10-30,Antonio Raíllo,0.094
2025-10-30,Dávid Hancko,0.09
2025-10-30,Trent Alexander-Arnold,0.089
2025-10-30,Lucas Boyé,0.089
2025-10-30,Leandro Cabrera,0.087
2025-10-30,Nahuel Tenaglia,0.087
2025-10-30,Santiago Mouriño,0.087
2025-10-30,Abel Bretones,0.086
2025-10-30,Daniel Vivian,0.085
2025-10-30,Mauro Arambarri,0.085
2025-10-30,Daley Blind,0.084
2025-10-30,Jude Bellingham,0.083
2025-10-30,Rubén García,0.083
2025-10-30,Carlos Álvarez,0.082
2025-10-30,Dakonam Djené,0.082
2025-10-30,Álvaro García,0.081
2025-10-30,Mateo Joseph,0.081
2025-10-30,Axel Witsel,0.081
2025-10-30,Arda Güler,0.078
2025-10-30,Viktor Tsygankov,0.078
2025-10-30,Conor Gallagher,0.077
2025-10-30,Manu Morlanes,0.076
2025-10-30,Roony Bardghji,0.074
2025-10-30,Ferran Torres,0.073
2025-10-30,Victor Chust,0.072
2025-10-30,Paulo Gazzaniga,0.069
2025-10-30,Vitor Reis,0.069
2025-10-30,Dean Huijsen,0.068
2025-10-30,Ander Barrenetxea,0.067
2025-10-30,Ferran Jutglà,0.067
2025-10-30,Nobel Mendy,0.067
2025-10-30,Oihan Sancet,0.066
2025-10-30,Toni Martínez,0.066
2025-10-30,Óscar Valentín,0.066
2025-10-30,Jan Virgili,0.066
2025-10-30,José Giménez,0.066
2025-10-30,Haissem Hassan,0.064
2025-10-30,Thiago Almada,0.064
2025-10-30,Juan Iglesias,0.063
2025-10-30,Eric García,0.062
2025-10-30,Borja Iglesias,0.062
2025-10-30,Vedat Muriqi,0.061
2025-10-30,Iván Martín,0.06
2025-10-30,Renato Veiga,0.059
2025-10-30,Aymeric Laporte,0.058
2025-10-30,Brais Méndez,0.058
2025-10-30,David Soria,0.058
2025-10-30,Salomón Rondón,0.058
2025-10-30,Jon Martin,0.058
2025-10-30,Giovani Lo Celso,0.057
2025-10-30,Aarón Escandell,0.057
2025-10-30,David Carmo,0.057
2025-10-30,Pablo Fornals,0.054
2025-10-30,Rubén Vargas,0.053
2025-10-30,Julen Agirrezabala,0.053
2025-10-30,Arnau Martínez,0.053
2025-10-30,Ante Budimir,0.052
2025-10-30,Mathew Ryan,0.052
2025-10-30,Gorka Guruzeta,0.052
2025-10-30,Martin Valjent,0.051
2025-10-30,Kervin Arriaga,0.051
2025-10-30,Víctor Parada,0.051
2025-10-30,Goduine Koyalipou,0.05
2025-10-30,Natan Souza,0.049
2025-10-30,Domingos Duarte,0.049
2025-10-30,Denis Suárez,0.049
2025-10-30,Thierry Correia,0.048
2025-10-30,Rubén Sánchez,0.048
2025-10-30,Pablo Durán,0.047
2025-10-30,Abdón Prats,0.047
